year,total_rainfall_mm,rain_days_count,total_runoff_mm,total_deficit_mm,station_id,station_name,load_timestamp
1949,1416.1,,,,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1950,1311.9,,,,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1951,1704.1,,,,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1952,1792.5,,,,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1953,1811.3,,,,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1954,1605.8,,,,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1955,1429.0,,,,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1956,2015.5,,,,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1957,1053.1,,,,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1958,1732.8,,,,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1959,1467.3,,,,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1960,1654.6,,,,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1961,1741.4,,,,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1962,1875.9,,,,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1963,1328.8,,,,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1964,1749.0,,,,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1965,1930.1,,,,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1966,1726.4,,,,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1967,1724.0,,,,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1968,1908.0,,,,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1969,1489.8,203.0,620.3,186.1,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1970,1693.0,182.0,939.3,399.2,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1971,1688.2,218.0,777.9,155.3,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1972,1713.0,,,,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1973,1399.6,197.0,611.2,370.1,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1975,1746.6,195.0,828.6,195.7,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1976,1863.7,208.0,826.2,166.9,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1977,1737.6,206.0,774.4,192.9,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1978,1741.6,177.0,900.1,289.2,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1979,2019.1,200.0,1082.9,202.8,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1980,1639.0,213.0,646.1,40.0,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1981,1530.6,196.0,650.0,188.3,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1982,1289.1,170.0,460.8,369.2,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
1983,1425.5,185.0,531.7,219.9,1464,NIWA Station 1464,2025-08-01 09:46:30.984504
